car_model;price;year_model;kms;color;fueltype
Chevrolet Sail 1.4l;$30.000.000;2016;150.000;Rojo;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$28.900.000;2016;108.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$32.000.000;2016;96.500;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$31.000.000;2016;89.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$28.000.000;2016;99.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$31.500.000;2018;83.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$28.700.000;2016;110.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$29.500.000;2015;100.000;Color not found;Gasolina
Chevrolet Sail Sail 2019;$34.600.000;2019;70.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$28.990.000;2015;74.400;Gris;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$26.500.000;2015;92.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$25.500.000;2017;88.900;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$32.000.000;2018;49.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$30.000.000;2017;68.947;Negro;Gasolina
Chevrolet Sail 1.4 Lt;$25.000.000;2014;126.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$28.300.000;2015;46.000;Azul;Gasolina
Chevrolet Sail 1.4 Ltz;$30.000.000;2015;103.000;Blanco;Gasolina
Chevrolet Sail 1.4 Lt;$30.000.000;2016;108.000;Blanco;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$27.500.000;2014;24.500;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$27.000.000;2014;87.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$41.800.000;2020;49.000;Gris;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$26.600.000;2015;128.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$29.500.000;2015;1;Color not found;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$25.000.000;2017;145.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$25.000.000;2014;120.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$27.000.000;2018;72.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$26.500.000;2015;73.000;Azul;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$30.000.000;2017;130.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$26.900.000;2013;97.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$35.500.000;2018;41.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$40.000.000;2018;20.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$25.000.000;2014;93.000;Negro;Gasolina
Chevrolet Sail 1.4 Ls;$32.000.000;2015;101.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ltz;$28.300.000;2015;150.000;Negro;Gasolina
Chevrolet Sail 1.4 Ls;$30.000.000;2017;49.100;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$38.000.000;2019;62.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$32.900.000;2016;73.000;Plateado;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$25.500.000;2014;128.000;Azul;Gasolina
Chevrolet Sail 1.4 Ltz;$29.000.000;2016;101.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$39.000.000;2020;141.900;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$33.900.000;2017;75.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$26.000.000;2015;71.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$35.000.000;2020;38.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$26.000.000;2015;115.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$32.500.000;2016;34.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$27.000.000;2016;100.500;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$30.000.000;2015;110.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt;$31.900.000;2018;107.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ls;$30.000.000;2015;77.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$27.500.000;2016;55.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ltz;$25.500.000;2014;101.000;Negro;Gasolina
Chevrolet Sail 1.4 Ls;$32.000.000;2018;75.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$31.000.000;2015;68.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$33.000.000;2017;74.300;Gris;Gasolina
Chevrolet Sail;$90.000.000;2019;236.000;Amarillo;Gasolina y gas
Chevrolet Sail 1.4 Lt;$25.500.000;2014;136.000;Azul;Gasolina
Chevrolet Sail 1.4 Ls;$34.000.000;2017;77.041;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$34.900.000;2019;66.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$29.000.000;2016;71.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$28.000.000;2016;94.000;Gris;Gasolina
